District,District_Code,Mandal,Mandal_Code,Village,Village_Code
RANGAREDDY,15_1,IBRAHIMPATNAM,09,ALIMIYAKUNTA,1534017
RANGAREDDY,15_1,IBRAHIMPATNAM,09,BONGLOOR,1534003
RANGAREDDY,15_1,IBRAHIMPATNAM,09,CHINTAPALLEGUDA,1534004
RANGAREDDY,15_1,IBRAHIMPATNAM,09,DANDUMAILARAM,1534011
RANGAREDDY,15_1,IBRAHIMPATNAM,09,FEROZGUDA,1534020
RANGAREDDY,15_1,IBRAHIMPATNAM,09,IBRAHIMPATAM (KHALSA),1534007
RANGAREDDY,15_1,IBRAHIMPATNAM,09,IBRAHIMPATNAM (BAGATH),1534018
RANGAREDDY,15_1,IBRAHIMPATNAM,09,ISMAILSHAPAMPU,1534006
RANGAREDDY,15_1,IBRAHIMPATNAM,09,KAPPAPAHAD,1534027
RANGAREDDY,15_1,IBRAHIMPATNAM,09,KHANAPUR,1535001
RANGAREDDY,15_1,IBRAHIMPATNAM,09,KONGARA KALAN,1534001
RANGAREDDY,15_1,IBRAHIMPATNAM,09,MANGALPALLE,1534019
RANGAREDDY,15_1,IBRAHIMPATNAM,09,MUKNOOR,1534012
RANGAREDDY,15_1,IBRAHIMPATNAM,09,NAGANPALLE,1534008
RANGAREDDY,15_1,IBRAHIMPATNAM,09,NARREPALLE,1534010
RANGAREDDY,15_1,IBRAHIMPATNAM,09,POCHARAM,1534022
RANGAREDDY,15_1,IBRAHIMPATNAM,09,POLKAMPALLE,1534009
RANGAREDDY,15_1,IBRAHIMPATNAM,09,RAINGUDA,1534013
RANGAREDDY,15_1,IBRAHIMPATNAM,09,RAIPOLE,1534015
RANGAREDDY,15_1,KADTHAL,10,CHELLAMPALLE,1415010
RANGAREDDY,15_1,KADTHAL,10,CHERIKONDA(P.KURTY),1416007
RANGAREDDY,15_1,KADTHAL,10,CHERIKONDA(PATTIPADKAL),1416006
RANGAREDDY,15_1,KADTHAL,10,EKRAJGUDA,1416004
RANGAREDDY,15_1,KADTHAL,10,KADTHAL,1416003
RANGAREDDY,15_1,KADTHAL,10,KARKALPAHAD,1416002
RANGAREDDY,15_1,KADTHAL,10,MAKTHAMADHARAM,1415004
RANGAREDDY,15_1,KADTHAL,10,MUDWIN,1416005
RANGAREDDY,15_1,KADTHAL,10,NAGIREDDIGUDA,1415008
RANGAREDDY,15_1,KADTHAL,10,NYAMATHAPUR,1415007
RANGAREDDY,15_1,KADTHAL,10,RAVICHEDU,1415005
RANGAREDDY,15_1,KADTHAL,10,SALARPUR,1415011
RANGAREDDY,15_1,KADTHAL,10,TAKRAJGUDA,1415006
RANGAREDDY,15_1,KADTHAL,10,VAMPUGUDA,1415009
RANGAREDDY,15_1,KADTHAL,10,VASUDEVAPUR,1416001
MEDCHAL-MALKAJGIRI,15_2,ALWAL,01,AKBARJHA,1510006
MEDCHAL-MALKAJGIRI,15_2,ALWAL,01,ALWAL (M),1510003
