location_id,hospitals,schools,metro,airports,last_updated
231,0,0,0,0,2026-02-13 12:14:24.083674
232,0,0,0,0,2026-02-13 12:14:24.083674
233,0,0,0,0,2026-02-13 12:14:24.083674
234,0,0,0,0,2026-02-13 12:14:24.138873
235,0,0,0,0,2026-02-13 12:14:24.138873
236,0,0,0,0,2026-02-13 12:14:24.138873
237,0,0,0,0,2026-02-13 12:14:24.138873
238,0,0,0,0,2026-02-13 12:14:24.138873
239,0,0,0,0,2026-02-13 12:14:24.138873
240,0,0,0,0,2026-02-13 12:14:24.138873
241,0,0,0,0,2026-02-13 12:14:24.138873
242,0,0,0,0,2026-02-13 12:14:24.138873
243,0,0,0,0,2026-02-13 12:14:24.138873
250,0,0,0,0,2026-02-19 10:31:28.765559
251,0,0,0,0,2026-02-19 10:31:28.765559
252,0,0,0,0,2026-02-19 10:31:28.765559
253,0,0,0,0,2026-02-19 10:31:28.765559
254,0,0,0,0,2026-02-19 10:31:28.765559
255,0,0,0,0,2026-02-19 10:31:28.765559
256,0,0,0,0,2026-02-19 10:31:28.765559
257,0,0,0,0,2026-02-19 10:31:28.765559
258,0,0,0,0,2026-02-19 10:31:28.765559
259,0,0,0,0,2026-02-19 10:31:28.765559
260,0,0,0,0,2026-02-19 10:31:28.765559
261,0,0,0,0,2026-02-19 10:31:28.765559
262,0,0,0,0,2026-02-19 10:31:28.765559
265,0,0,0,0,2026-02-19 10:36:46.781721
266,0,0,0,0,2026-02-19 10:36:46.781721
267,0,0,0,0,2026-02-19 10:36:46.781721
268,0,0,0,0,2026-02-19 10:36:46.781721
269,0,0,0,0,2026-02-19 10:36:46.781721
270,0,0,0,0,2026-02-19 10:36:46.781721
272,0,0,0,0,2026-02-19 10:36:46.781721
273,0,0,0,0,2026-02-19 10:36:46.781721
274,0,0,0,0,2026-02-19 10:36:46.781721
276,0,0,0,0,2026-02-19 10:36:46.781721
277,0,0,0,0,2026-02-19 10:36:46.781721
278,0,0,0,0,2026-02-19 10:36:46.781721
282,0,0,0,0,2026-02-19 10:36:46.781721
283,0,0,0,0,2026-02-19 10:36:46.781721
284,0,0,0,0,2026-02-19 10:36:46.781721
285,0,0,0,0,2026-02-19 10:37:25.627888
286,0,0,0,0,2026-02-19 10:37:25.627888
287,0,0,0,0,2026-02-19 10:37:25.627888
288,0,0,0,0,2026-02-19 10:37:25.627888
289,0,0,0,0,2026-02-19 10:37:25.627888
290,0,0,0,0,2026-02-19 10:37:25.627888
291,0,0,0,0,2026-02-19 10:37:25.627888
292,0,0,0,0,2026-02-19 10:37:25.627888
293,0,0,0,0,2026-02-19 10:37:25.627888
294,0,0,0,0,2026-02-19 10:37:25.627888
295,0,0,0,0,2026-02-19 10:37:25.627888
296,0,0,0,0,2026-02-19 10:37:25.627888
297,0,0,0,0,2026-02-19 10:37:25.627888
298,0,0,0,0,2026-02-19 10:37:25.627888
299,0,0,0,0,2026-02-19 10:37:25.627888
300,0,0,0,0,2026-02-19 10:37:25.627888
301,0,0,0,0,2026-02-19 10:37:25.627888
302,0,0,0,0,2026-02-19 10:37:25.627888
303,0,0,0,0,2026-02-19 10:37:25.627888
304,0,0,0,0,2026-02-19 10:37:25.627888
305,0,0,0,0,2026-02-19 10:38:37.967380
306,0,0,0,0,2026-02-19 10:38:37.967380
307,0,0,0,0,2026-02-19 10:38:37.967380
308,0,0,0,0,2026-02-19 10:38:37.967380
309,0,0,0,0,2026-02-19 10:38:37.967380
310,0,0,0,0,2026-02-19 10:38:37.967380
311,0,0,0,0,2026-02-19 10:38:37.967380
313,0,0,0,0,2026-02-19 10:38:37.967380
314,0,0,0,0,2026-02-19 10:38:37.967380
315,0,0,0,0,2026-02-19 10:38:37.967380
316,0,0,0,0,2026-02-19 10:38:37.967380
317,0,0,0,0,2026-02-19 10:38:37.967380
318,0,0,0,0,2026-02-19 10:38:37.967380
319,0,0,0,0,2026-02-19 10:38:37.967380
320,0,0,0,0,2026-02-19 10:38:37.967380
321,0,0,0,0,2026-02-19 10:38:37.967380
322,0,0,0,0,2026-02-19 10:38:37.967380
323,0,0,0,0,2026-02-19 10:38:37.967380
324,0,0,0,0,2026-02-19 10:38:37.967380
325,0,0,0,0,2026-02-19 10:39:24.112969
326,0,0,0,0,2026-02-19 10:39:24.112969
327,0,0,0,0,2026-02-19 10:39:24.112969
328,0,0,0,0,2026-02-19 10:39:24.112969
329,0,0,0,0,2026-02-19 10:39:24.112969
330,0,0,0,0,2026-02-19 10:39:24.112969
331,0,0,0,0,2026-02-19 10:39:24.112969
332,0,0,0,0,2026-02-19 10:39:24.112969
334,0,0,0,0,2026-02-19 10:39:24.112969
337,0,0,0,0,2026-02-19 10:39:24.112969
338,0,0,0,0,2026-02-19 10:39:24.112969
339,0,0,0,0,2026-02-19 10:39:24.112969
340,0,0,0,0,2026-02-19 10:39:24.112969
341,0,0,0,0,2026-02-19 10:39:24.112969
342,0,0,0,0,2026-02-19 10:39:24.112969
343,0,0,0,0,2026-02-19 10:39:24.112969
344,0,0,0,0,2026-02-19 10:39:24.112969
345,0,0,0,0,2026-02-19 10:40:26.439916
347,0,0,0,0,2026-02-19 10:40:26.439916
348,0,0,0,0,2026-02-19 10:40:26.439916
349,0,0,0,0,2026-02-19 10:40:26.439916
350,0,0,0,0,2026-02-19 10:40:26.439916
351,0,0,0,0,2026-02-19 10:40:26.439916
352,0,0,0,0,2026-02-19 10:40:26.439916
353,0,0,0,0,2026-02-19 10:40:26.439916
354,0,0,0,0,2026-02-19 10:40:26.439916
355,0,0,0,0,2026-02-19 10:40:26.439916
357,0,0,0,0,2026-02-19 10:40:26.439916
358,0,0,0,0,2026-02-19 10:40:26.439916
359,0,0,0,0,2026-02-19 10:40:26.439916
360,0,0,0,0,2026-02-19 10:40:26.439916
361,0,0,0,0,2026-02-19 10:40:26.439916
362,0,0,0,0,2026-02-19 10:40:26.439916
363,0,0,0,0,2026-02-19 10:40:26.439916
364,0,0,0,0,2026-02-19 10:40:26.439916
365,0,0,0,0,2026-02-19 10:40:46.370025
366,0,0,0,0,2026-02-19 10:40:46.370025
367,0,0,0,0,2026-02-19 10:40:46.370025
368,0,0,0,0,2026-02-19 10:40:46.370025
369,0,0,0,0,2026-02-19 10:40:46.370025
370,0,0,0,0,2026-02-19 10:40:46.370025
371,0,0,0,0,2026-02-19 10:40:46.370025
372,0,0,0,0,2026-02-19 10:40:46.370025
373,0,0,0,0,2026-02-19 10:40:46.370025
374,0,0,0,0,2026-02-19 10:40:46.370025
375,0,0,0,0,2026-02-19 10:40:46.370025
378,0,0,0,0,2026-02-19 10:40:46.370025
379,0,0,0,0,2026-02-19 10:40:46.370025
380,0,0,0,0,2026-02-19 10:40:46.370025
382,0,0,0,0,2026-02-19 10:40:46.370025
384,0,0,0,0,2026-02-19 10:40:46.370025
385,0,0,0,0,2026-02-19 10:41:39.611614
386,0,0,0,0,2026-02-19 10:41:39.611614
388,0,0,0,0,2026-02-19 10:41:39.611614
389,0,0,0,0,2026-02-19 10:41:39.611614
390,0,0,0,0,2026-02-19 10:41:39.611614
391,0,0,0,0,2026-02-19 10:41:39.611614
392,0,0,0,0,2026-02-19 10:41:39.611614
394,0,0,0,0,2026-02-19 10:41:39.611614
395,0,0,0,0,2026-02-19 10:41:39.611614
396,0,0,0,0,2026-02-19 10:41:39.611614
397,0,0,0,0,2026-02-19 10:41:39.611614
398,0,0,0,0,2026-02-19 10:41:39.611614
399,0,0,0,0,2026-02-19 10:41:39.611614
400,0,0,0,0,2026-02-19 10:41:39.611614
401,0,0,0,0,2026-02-19 10:41:39.611614
402,0,0,0,0,2026-02-19 10:41:39.611614
403,0,0,0,0,2026-02-19 10:41:39.611614
404,0,0,0,0,2026-02-19 10:41:39.611614
407,0,0,0,0,2026-02-19 10:42:56.742095
408,0,0,0,0,2026-02-19 10:42:56.742095
409,0,0,0,0,2026-02-19 10:42:56.742095
410,0,0,0,0,2026-02-19 10:42:56.742095
411,0,0,0,0,2026-02-19 10:42:56.742095
412,0,0,0,0,2026-02-19 10:42:56.742095
414,0,0,0,0,2026-02-19 10:42:56.742095
415,0,0,0,0,2026-02-19 10:42:56.742095
416,0,0,0,0,2026-02-19 10:42:56.742095
417,0,0,0,0,2026-02-19 10:42:56.742095
418,0,0,0,0,2026-02-19 10:42:56.742095
419,0,0,0,0,2026-02-19 10:42:56.742095
420,0,0,0,0,2026-02-19 10:42:56.742095
