id,raw_data_id,sentiment_score,sentiment_label,confidence,processed_at
2161,2430,0.46082008071243763,neutral,0.5041546821594238,2026-01-17 12:26:02.649021
2164,2441,-0.017985478043556213,neutral,0.6814153790473938,2026-01-17 12:26:02.649021
2166,2443,-0.26512691751122475,neutral,0.6566241383552551,2026-01-17 12:26:02.649021
2167,2444,0.012769520282745361,neutral,0.7488031983375549,2026-01-17 12:26:02.649021
2168,2445,-0.2793087475001812,neutral,0.6147990226745605,2026-01-17 12:26:02.649021
2169,2446,0.3814467713236809,neutral,0.5922589898109436,2026-01-17 12:26:02.649021
2177,2447,0.1408526375889778,neutral,0.7519333958625793,2026-01-17 12:26:02.649021
2178,2448,-0.31160545721650124,neutral,0.5697474479675293,2026-01-17 12:26:02.649021
2180,2450,-0.2537654973566532,neutral,0.631171464920044,2026-01-17 12:26:02.649021
2181,2451,-0.11900047957897186,neutral,0.685685932636261,2026-01-17 12:26:02.649021
2185,2455,0.08790016174316406,neutral,0.7200818657875061,2026-01-17 12:26:02.649021
2188,2458,-0.15870504081249237,neutral,0.6617470383644104,2026-01-17 12:26:02.649021
2192,2461,0.14946161955595016,neutral,0.7161804437637329,2026-01-17 12:26:02.649021
2193,2462,0.4533740682527423,neutral,0.5353964567184448,2026-01-17 12:26:02.649021
2194,2463,-0.015101715922355652,neutral,0.7479663491249084,2026-01-17 12:26:02.649021
2195,2464,-0.668270954862237,negative,0.6936308741569519,2026-01-17 12:26:02.649021
2197,2466,-0.48542558401823044,negative,0.5281948447227478,2026-01-17 12:26:02.649021
2200,2469,-0.10579218715429306,neutral,0.7602540254592896,2026-01-17 12:26:02.649021
2201,2470,-0.5162057615816593,negative,0.5568169951438904,2026-01-17 12:26:02.649021
2202,2471,0.25281957164406776,neutral,0.7000805139541626,2026-01-17 12:26:02.649021
2203,2472,-0.09396328777074814,neutral,0.7242084741592407,2026-01-17 12:26:02.649021
2210,2568,-0.02603164315223694,neutral,0.7654222249984741,2026-01-17 12:26:02.649021
2212,2474,0.03529505431652069,neutral,0.7481667995452881,2026-01-17 12:26:02.649021
2213,2475,0.10674506053328514,neutral,0.7771790623664856,2026-01-17 12:26:02.649021
2216,2478,-0.26824525743722916,neutral,0.5916141867637634,2026-01-17 12:26:02.649021
2218,2480,-0.15030109882354736,neutral,0.6581089496612549,2026-01-17 12:26:02.649021
2219,2481,-0.008175447583198547,neutral,0.86539626121521,2026-01-17 12:26:02.649021
2220,2482,-0.012187812477350235,neutral,0.8876778483390808,2026-01-17 12:26:02.649021
2222,2484,-0.21594145148992538,neutral,0.6139216423034668,2026-01-17 12:26:02.649021
2224,2486,-0.1138191670179367,neutral,0.6735081672668457,2026-01-17 12:26:02.649021
2226,2488,-0.046098366379737854,neutral,0.7913793325424194,2026-01-17 12:26:02.649021
