id,name,city,region,geom,created_at,boundary,school_count,hospital_count
396,Sri Ramapura,Bangalore,West Hyderabad,POINT(77.6777474 13.0401292),2026-02-19 10:41:39.611614,,0,0
397,St. John’s Road,Bangalore,West Hyderabad,POINT(77.6130125 12.9917569),2026-02-19 10:41:39.611614,,0,0
45,Attibele,Bangalore,West Hyderabad,POINT(77.7709216 12.7751249),2026-02-13 12:14:23.042416,,0,0
49,Bagalur,Bangalore,West Hyderabad,POINT(77.6184726 13.0079918),2026-02-13 12:14:23.042416,,0,0
51,Balagere,Bangalore,West Hyderabad,POINT(77.7280705 12.9377243),2026-02-13 12:14:23.042416,,0,0
55,Bannerghatta Road,Bangalore,West Hyderabad,POINT(77.6001651 12.9104248),2026-02-13 12:14:23.107527,,0,0
209,Sarjapur,Bangalore,West Hyderabad,POINT(77.6388622 12.9116225),2026-02-13 12:14:23.964694,,0,0
210,Sarjapur Road,Bangalore,West Hyderabad,POINT(77.6388622 12.9116225),2026-02-13 12:14:23.964694,,0,0
212,Seegehalli,Bangalore,West Hyderabad,POINT(77.71748 13.0164845),2026-02-13 12:14:23.964694,,0,0
237,Whitefield,Bangalore,West Hyderabad,POINT(77.7614229 12.9963995),2026-02-13 12:14:24.138873,"POLYGON((77.74826077444672 12.98804775809666,77.74786806027036 12.984527287532584,77.74678257100851 12.981149585904024,77.74504604219634 12.97804444336596,77.7427252184787 12.975331173603593,77.73990928701501 12.973114030988967,77.73670645019678 12.971478206433451,77.73323976936382 12.970486555465754,77.7296424389558 12.97017718398417,77.7260526722047 12.970561984272544,77.72260839425857 12.971626177480504,77.71944194598356 12.973328880227703,77.71667500133935 12.975604673760953,77.71441389317177 12.978366115659874,77.71274552679787 12.981507097915507,77.71173403843598 12.984906922678253,77.71141832717329 12.988434939338354,77.71181055581718 12.991955564932022,77.71289567889008 12.995333495008143,77.7146320166058 12.998438904632659,77.7169528534122 13.001152439458892,77.7197690001572 13.00336980476122,77.72297222167472 13.005005775726094,77.72643939805796 13.005997474535294,77.7300372594242 13.006306788007086,77.73362751170785 13.005921832689081,77.73707215584292 13.00485741103353,77.74023879521434 13.00315444119985,77.74300572676972 13.00087838260274,77.7452666196559 12.998116718016135,77.7469346013305 12.994975589351187,77.74794559414217 12.991575716746965,77.74826077444672 12.98804775809666))",0,0
241,Yeshwanthpur,Bangalore,West Hyderabad,POINT(77.5555009 13.0176937),2026-02-13 12:14:24.138873,,0,0
201,Rajaji Nagar,Bangalore,West Hyderabad,POINT(77.5490651 13.0036633),2026-02-13 12:14:23.913496,,0,0
